,day,process,process_id,father,father_id,uid,ocurrences
4427,8,ps,23175,monitoramento-d,23174,0,1
4428,8,PDMNsTx,1230,nspr-2,1215,0,1
4429,8,pidof,23376,monitoramento-V,1280,0,1
4430,8,apache2,9042,apache2,491,33,1
4431,8,ps,23565,monitoramento-z,23564,0,1
4432,8,VBoxManage,23365,workload.sh,1281,0,2
4433,8,pidof,23737,monitoramento-V,1279,0,1
4434,8,pidof,23885,monitoramento-V,1279,0,1
4435,8,monitoramento-c,23919,monitoramento-c,1273,0,1
4436,8,ps,24077,monitoramento-z,24076,0,1
4437,8,pidof,24405,monitoramento-V,1278,0,1
4438,8,ps,24460,monitoramento-d,24458,0,1
4439,8,monitoramento-z,1276,bash,1263,0,1
4440,8,ps,24643,monitoramento-d,24642,0,1
4441,8,pidof,24940,monitoramento-V,1278,0,1
4442,8,monitoramento-c,1273,bash,1263,0,1
4443,8,ps,24929,monitoramento-z,24928,0,1
4444,8,ps,25094,monitoramento-d,25093,0,1
4445,8,in:imklog,372,systemd,1,0,2
4446,8,ps,25152,monitoramento-z,25148,0,1
4447,8,ps,25300,monitoramento-z,25299,0,1
4448,8,ATA-1,1230,nspr-2,1215,0,1
4449,8,ps,25686,monitoramento-d,25684,0,1
4450,8,systemd-journal,198,systemd,1,0,1
4451,8,ps,25692,monitoramento-z,25691,0,1
4452,8,pidof,25821,monitoramento-V,1278,0,1
4453,8,free,25822,monitoramento-m,25818,0,1
4454,8,ps,25949,monitoramento-z,25948,0,2
4455,8,awk,25966,monitoramento-n,25962,0,1
4456,8,ps,25959,monitoramento-d,25958,0,1
4457,8,ifconfig,26140,monitoramento-n,26139,0,1
4458,8,grep,26141,monitoramento-n,26139,0,1
4459,8,pidof,26198,monitoramento-V,1278,0,1
4460,8,VBoxManage,25456,workload.sh,1281,0,3
4461,8,ps,26325,monitoramento-d,26324,0,2
4462,8,ps,26465,monitoramento-z,26464,0,1
4463,8,ps,26540,monitoramento-d,26539,0,2
4464,8,ps,27043,monitoramento-z,27042,0,1
4465,8,ps,27277,monitoramento-d,27273,0,1
4466,8,grep,27355,monitoramento-V,27353,0,1
4467,8,pidof,27756,monitoramento-V,1279,0,1
4468,8,ps,27904,monitoramento-d,27903,0,1
4469,8,ps,28006,monitoramento-z,28005,0,1
4470,8,VMSVGA FIFO,1230,nspr-2,1215,0,1
4471,8,pidof,28174,monitoramento-V,1278,0,1
4472,8,ps,28180,monitoramento-z,28175,0,1
4473,8,awk,28289,monitoramento-d,28286,0,1
4474,8,ps,28347,monitoramento-z,28346,0,1
4475,8,ps,28452,monitoramento-d,28451,0,1
4476,8,ps,28844,monitoramento-d,28841,0,1
4477,8,wc,28894,monitoramento-z,28882,0,1
4478,8,ps,28892,monitoramento-z,28882,0,1
4479,8,ps,29147,monitoramento-z,29146,0,1
4480,8,ps,29227,monitoramento-d,29226,0,1
4481,8,nspr-4,1215,systemd,1,0,1
4482,8,ps,29418,monitoramento-z,29417,0,1
4483,8,monitoramento-V,29678,monitoramento-V,1279,0,1
4484,8,ps,29779,monitoramento-z,29778,0,1
4485,8,ps,30138,monitoramento-z,30137,0,1
4486,8,ps,30463,monitoramento-z,30462,0,1
4487,8,pidof,30634,monitoramento-V,1278,0,1
4488,8,pidof,30997,monitoramento-V,1279,0,1
4489,8,VBoxManage,29572,workload.sh,1281,0,1
4490,8,pidof,31168,monitoramento-V,1278,0,1
4491,8,ifconfig,31176,monitoramento-n,31175,0,1
4492,8,ps,31509,monitoramento-z,31508,0,1
4493,8,ps,31711,monitoramento-d,31710,0,1
4494,8,monitoramento-c,31715,monitoramento-c,1273,0,1
4495,8,pidof,31723,monitoramento-V,1279,0,1
4496,8,ps,31898,monitoramento-d,31896,0,1
4497,8,pidof,32079,monitoramento-V,1279,0,1
4498,8,monitoramento-d,32090,monitoramento-d,32089,0,1
4499,8,ps,32076,monitoramento-z,32075,0,1
4500,8,"Processo,cut",32109,monitoramento-d,32107,0,1
4501,8,ps,32252,monitoramento-d,32251,0,1
4502,8,apt-get,28645,apt.systemd.dai,28463,0,14
4503,8,pidof,32379,monitoramento-V,1280,0,1
4504,8,mpstat,32372,monitoramento-c,32371,0,1
4505,8,ps,32385,monitoramento-z,32384,0,1
4506,8,monitoramento-V,32431,monitoramento-V,32428,0,1
4507,8,pidof,345,monitoramento-V,1278,0,1
4508,8,monitoramento-c,428,monitoramento-c,1273,0,1
4509,8,pidof,540,monitoramento-V,1279,0,1
4510,8,systemd,1,swapper,,0(0),0
